road_id,lane_seq,lon,lat,utmX,utmY
0,0,121.2014884942266,31.29220336436327,328815.9243044638,3463381.920286401
0,0,121.20148250945486,31.292195952237126,328815.34118016664,3463381.107903453
0,0,121.20147652468405,31.292188540110722,328814.7580558695,3463380.2955205054
0,0,121.20147053991415,31.29218112798407,328814.17493157234,3463379.4831375573
0,0,121.20146455514517,31.292173715857167,328813.5918072752,3463378.6707546096
0,0,121.20145857037713,31.292166303730003,328813.00868297805,3463377.8583716615
0,0,121.20145410824554,31.292160777385156,328812.5739163052,3463377.252673986
0,0,121.20144819556994,31.29215336107816,328811.9976471771,3463376.4397157985
0,0,121.20144238565362,31.2921458851225,328811.4310523405,3463375.6199857127
0,0,121.20143667931248,31.292138350568095,328810.8742113654,3463374.7935988475
0,0,121.20143107734789,31.292130758473064,328810.327202452,3463373.9606712568
0,0,121.20142558054653,31.292123109903613,328809.7901024196,3463373.1213199133
0,0,121.20142018968032,31.29211540593392,328809.2629866962,3463372.2756626913
0,0,121.20141490550634,31.29210764764586,328808.7459293074,3463371.4238183512
0,0,121.20140972876665,31.292099836129015,328808.2390028664,3463370.565906523
0,0,121.20140466018819,31.292091972480385,328807.7422785635,3463369.702047686
0,0,121.2013997004828,31.292084057804352,328807.2558261565,3463368.832363158
0,0,121.20139485034694,31.292076093212398,328806.7797139605,3463367.956975073
0,0,121.20139011046174,31.292068079823046,328806.31400883844,3463367.0760063664
0,0,121.20138548149282,31.292060018761696,328805.85877619183,3463366.1895807576
0,0,121.20138096409022,31.2920519111604,328805.4140799514,3463365.2978227315
0,0,121.20137655888836,31.29204375815775,328804.97998256836,3463364.4008575235
0,0,121.2013722665058,31.292035560898757,328804.5565450052,3463363.4988110987
0,0,121.20136808754533,31.29202732053459,328804.1438267276,3463362.591810136
0,0,121.20136402259384,31.292019038222513,328803.74188569584,3463361.679982011
0,0,121.20136007222216,31.292010715125656,328803.3507783566,3463360.7634547763
0,0,121.20135623698498,31.292002352412887,328802.9705596352,3463359.842357145
0,0,121.20135251742093,31.29199395125865,328802.6012829278,3463358.9168184716
0,0,121.20134891405233,31.291985512842757,328802.24300009396,3463357.986968735
0,0,121.20134542738519,31.291977038350268,328801.89576144924,3463357.0529385176
0,0,121.20134205790913,31.29196852897132,328801.5596157582,3463356.1148589915
0,0,121.2013388060973,31.29195998590094,328801.23461022764,3463355.172861896
0,0,121.20133567240636,31.29195141033888,328800.9207904998,3463354.227079521
0,0,121.20133265727638,31.29194280348946,328800.6182006461,3463353.277644688
0,0,121.20132976113071,31.291934166561386,328800.3268831608,3463352.32469073
0,0,121.2013269843761,31.291925500767608,328800.04687895527,3463351.3683514767
0,0,121.20132432740242,31.291916807325105,328799.77822735196,3463350.408761231
0,0,121.2013217905828,31.291908087454765,328799.520966079,3463349.446054755
0,0,121.20131937427344,31.291899342381154,328799.2751312651,3463348.4803672447
0,0,121.20131707881367,31.291890573332417,328799.04075743415,3463347.5118343183
0,0,121.20131490452583,31.291881781540006,328798.81787750043,3463346.540591991
0,0,121.2013128517152,31.291872968238657,328798.6065227642,3463345.5667766607
0,0,121.20131092067008,31.291864134666024,328798.4067229072,3463344.5905250846
0,0,121.20130911166159,31.291855282062695,328798.21850598836,3463343.611974363
0,0,121.20130742494374,31.291846411671873,328798.04189844,3463342.63126192
0,0,121.20130586075338,31.29183752473929,328797.8769250641,3463341.648525481
0,0,121.20130441931013,31.291828622512973,328797.7236090287,3463340.663903058
0,0,121.20130310081643,31.291819706243125,328797.5819718648,3463339.6775329267
0,0,121.20130190545737,31.291810777181894,328797.4520334633,3463338.6895536077
0,0,121.20130083340081,31.29180183658326,328797.3338120721,3463337.7001038487
0,0,121.20129988479722,31.29179288570279,328797.2273242938,3463336.709322604
0,0,121.20129905977984,31.2917839257975,328797.1325850829,3463335.7173490133
0,0,121.20129835846447,31.29177495812569,328797.0496077442,3463334.724322385
0,0,121.20129778094959,31.29176598394672,328796.97840393067,3463333.7303821757
0,0,121.20129732731621,31.291757004520907,328796.91898364184,3463332.7356679696
0,0,121.20129699762805,31.291748021109264,328796.87135522236,3463331.7403194597
0,0,121.20129679193137,31.29173903497338,328796.835525361,3463330.7444764283
