road_id,lon,lat,utmX,utmY,heading,mode,speed_mode,event_mode,oppsite_side_mode,lane_num,lane_seq,lane_width
0,121.20307156228083,31.291644268610412,900190.7331641758,3469556.608757791,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20306719892181,31.291641307128316,900190.3299105659,3469556.264255553,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20305897195598,31.291635723352975,900189.5695894496,3469555.614708172,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20305074499109,31.291630139577034,900188.8092683331,3469554.9651607913,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20304251802713,31.291624555800457,900188.0489472168,3469554.3156134104,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20303429106411,31.291618972023272,900187.2886261005,3469553.6660660296,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20302606410206,31.291613388245466,900186.5283049841,3469553.0165186487,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20301783714096,31.29160780446702,900185.7679838678,3469552.3669712674,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20300961018083,31.291602220687988,900185.0076627515,3469551.7174238865,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20300138322163,31.29159663690831,900184.247341635,3469551.0678765057,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20299315626337,31.29159105312804,900183.4870205187,3469550.418329125,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20298492930606,31.29158546934714,900182.7266994024,3469549.768781744,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.2029767023497,31.291579885565614,900181.966378286,3469549.119234363,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.2029684753943,31.291574301783466,900181.2060571697,3469548.469686982,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20296024843987,31.291568718000708,900180.4457360534,3469547.8201396014,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20295202148637,31.29156313421733,900179.685414937,3469547.1705922205,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20294379453381,31.291557550433332,900178.9250938207,3469546.5210448396,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20293556758219,31.291551966648715,900178.1647727044,3469545.871497459,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20292734063155,31.29154638286348,900177.4044515879,3469545.2219500775,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20291911368183,31.291540799077623,900176.6441304716,3469544.5724026966,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.2029108866718,31.291535215249553,900175.8838036904,3469543.922850476,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20290652332265,31.291532253761048,900175.4805500805,3469543.5783482385,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20289829637535,31.291526669973624,900174.7202289642,3469542.9288008576,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20289006942902,31.291521086185586,900173.9599078479,3469542.2792534768,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.2028818424836,31.29151550239693,900173.1995867315,3469541.629706096,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20287361553916,31.291509918607645,900172.4392656152,3469540.9801587146,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20286538859567,31.29150433481775,900171.6789444989,3469540.3306113337,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20285716165311,31.29149875102724,900170.9186233825,3469539.681063953,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.2028489347115,31.291493167236105,900170.1583022662,3469539.031516572,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20284070777085,31.29148758344436,900169.3979811498,3469538.381969191,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20283248083116,31.29148199965197,900168.6376600334,3469537.7324218103,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.2028242538924,31.291476415858998,900167.8773389171,3469537.0828744294,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.2028160269546,31.29147083206538,900167.1170178008,3469536.4333270486,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20280780001774,31.29146524827115,900166.3566966844,3469535.7837796677,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20279957308185,31.2914596644763,900165.5963755681,3469535.134232287,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.2027913461469,31.29145408068085,900164.8360544518,3469534.484684906,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.2027831192129,31.291448496884758,900164.0757333353,3469533.8351375246,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20277489227985,31.291442913088048,900163.315412219,3469533.185590144,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20276666534772,31.29143732929073,900162.5550911027,3469532.536042763,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.2027584384166,31.291431745492783,900161.7947699863,3469531.886495382,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20275021148638,31.291426161694226,900161.03444887,3469531.236948001,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20274198455714,31.291420577895053,900160.2741277537,3469530.5874006203,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.20273375762882,31.29141499409525,900159.5138066373,3469529.9378532395,2.2777853121170937,0,3,0,0,1,1,3.0
0,121.2027529394125,31.29139415290479,900161.429971411,3469527.694905946,-0.8638073414726994,0,3,0,0,1,1,2.9
0,121.20276116633983,31.291399736703426,900162.1902925273,3469528.344453327,-0.8638073414726994,0,3,0,0,1,1,2.9
0,121.2027693932681,31.29140532050145,900162.9506136436,3469528.994000708,-0.8638073414726994,0,3,0,0,1,1,2.9
